x_m,radius_m
0.1676,0.007035866666666666
0.1684,0.0070428
0.16920000000000002,0.007049733333333334
0.17,0.007056666666666667
0.1708,0.0070636
0.1716,0.0070705333333333335
0.1724,0.0070774666666666665
0.1732,0.0070844
0.174,0.007091333333333333
0.1748,0.007098266666666667
0.1756,0.0071052
0.1764,0.007112133333333334
0.1772,0.007119066666666667
0.178,0.0071259999999999995
0.17880000000000001,0.007132933333333333
0.1796,0.007139866666666667
0.1804,0.0071468
0.1812,0.007153733333333333
0.182,0.007160666666666667
0.18280000000000002,0.0071676
0.18359999999999999,0.0071745333333333335
0.1844,0.007181466666666666
0.1852,0.0071884
0.186,0.007195333333333333
0.1868,0.007202266666666667
0.18760000000000002,0.0072092
0.1884,0.007216133333333334
0.1892,0.0072230666666666665
0.19,0.00723
0.1908,0.007236933333333333
0.1916,0.007243866666666666
0.19240000000000002,0.0072508
0.1932,0.007257733333333334
0.194,0.007264666666666667
0.1948,0.0072716
0.1956,0.007278533333333333
0.19640000000000002,0.007285466666666667
0.1972,0.0072924
0.198,0.007299333333333333
0.1988,0.007306266666666667
0.1996,0.0073132
0.2004,0.0073201333333333335
0.2012,0.0073270666666666665
0.202,0.007334
0.2028,0.007340933333333333
0.2036,0.007347866666666666
0.20440000000000003,0.0073548
0.2052,0.007361733333333334
0.20600000000000002,0.007368666666666667
0.20679999999999998,0.0073755999999999995
0.2076,0.007382533333333333
0.2084,0.007389466666666667
0.2092,0.0073964
0.21000000000000002,0.007403333333333333
0.2108,0.007410266666666667
0.2116,0.0074172
0.2124,0.0074241333333333335
0.2132,0.007431066666666666
0.214,0.007438
0.2148,0.007444933333333333
0.2156,0.007451866666666667
0.21639999999999998,0.0074588
0.2172,0.007465733333333334
0.218,0.0074726666666666665
0.2188,0.0074796
0.21960000000000002,0.007486533333333333
0.22039999999999998,0.007493466666666667
0.2212,0.0075004
0.222,0.007507333333333333
0.2228,0.007514266666666667
0.2236,0.0075212000000000005
0.2244,0.007528133333333333
0.2252,0.007535066666666666
0.22599999999999998,0.007542
0.2268,0.007548933333333334
0.2276,0.007555866666666667
0.2284,0.0075628
0.22920000000000001,0.0075697333333333335
0.23,0.0075766666666666664
0.2308,0.0075836
0.2316,0.007590533333333333
0.2324,0.007597466666666667
0.2332,0.0076044
0.23399999999999999,0.007611333333333333
0.2348,0.007618266666666667
0.2356,0.0076252
0.2364,0.007632133333333333
0.2372,0.007639066666666666
0.238,0.007646
0.2388,0.007652933333333334
0.23959999999999998,0.007659866666666666
0.2404,0.0076668
0.2412,0.0076737333333333334
0.242,0.007680666666666666
0.2428,0.007687599999999999
0.24359999999999998,0.007694533333333333
0.2444,0.007701466666666667
0.24520000000000003,0.007708400000000001
0.246,0.007715333333333333
0.24680000000000002,0.0077222666666666665
0.24760000000000001,0.0077292
0.2484,0.007736133333333333
0.24919999999999998,0.007743066666666666
0.25,0.00775
